id,word,audio_url,freq_score,RAtype
1,the,/audio/word/WORD0001.mp3,891,ra
2,of,/audio/word/WORD0002.mp3,532,ra
3,and,/audio/word/WORD0003.mp3,498,ra
4,to,/audio/word/WORD0004.mp3,405,ra
5,in,/audio/word/WORD0005.mp3,329,ra
6,a,/audio/word/WORD0006.mp3,312,ra
7,is,/audio/word/WORD0007.mp3,250,ra
8,that,/audio/word/WORD0008.mp3,176,ra
9,for,/audio/word/WORD0009.mp3,142,ra
10,are,/audio/word/WORD0010.mp3,131,ra
11,as,/audio/word/WORD0011.mp3,115,ra
12,it,/audio/word/WORD0012.mp3,104,ra
13,with,/audio/word/WORD0013.mp3,92,ra
14,be,/audio/word/WORD0014.mp3,85,ra
15,on,/audio/word/WORD0015.mp3,84,ra
16,have,/audio/word/WORD0016.mp3,75,ra
17,or,/audio/word/WORD0017.mp3,73,ra
18,they,/audio/word/WORD0018.mp3,72,ra
19,you,/audio/word/WORD0019.mp3,72,ra
20,an,/audio/word/WORD0020.mp3,72,ra
21,their,/audio/word/WORD0021.mp3,69,ra
22,by,/audio/word/WORD0022.mp3,69,ra
23,this,/audio/word/WORD0023.mp3,67,ra
24,from,/audio/word/WORD0024.mp3,61,ra
25,not,/audio/word/WORD0025.mp3,60,ra
26,which,/audio/word/WORD0026.mp3,53,ra
27,people,/audio/word/WORD0027.mp3,52,ra
28,all,/audio/word/WORD0028.mp3,48,ra
29,but,/audio/word/WORD0029.mp3,46,ra
30,at,/audio/word/WORD0030.mp3,46,ra
31,can,/audio/word/WORD0031.mp3,45,ra
32,more,/audio/word/WORD0032.mp3,44,ra
33,we,/audio/word/WORD0033.mp3,44,ra
34,your,/audio/word/WORD0034.mp3,44,ra
35,has,/audio/word/WORD0035.mp3,43,ra
36,most,/audio/word/WORD0036.mp3,41,ra
37,these,/audio/word/WORD0037.mp3,41,ra
38,were,/audio/word/WORD0038.mp3,39,ra
39,one,/audio/word/WORD0039.mp3,38,ra
40,will,/audio/word/WORD0040.mp3,37,ra
41,than,/audio/word/WORD0041.mp3,36,ra
42,about,/audio/word/WORD0042.mp3,35,ra
43,new,/audio/word/WORD0043.mp3,35,ra
44,other,/audio/word/WORD0044.mp3,35,ra
45,some,/audio/word/WORD0045.mp3,35,ra
46,was,/audio/word/WORD0046.mp3,34,ra
47,how,/audio/word/WORD0047.mp3,34,ra
48,many,/audio/word/WORD0048.mp3,34,ra
49,our,/audio/word/WORD0049.mp3,33,ra
50,also,/audio/word/WORD0050.mp3,33,ra
51,work,/audio/word/WORD0051.mp3,32,ra
52,such,/audio/word/WORD0052.mp3,32,ra
53,who,/audio/word/WORD0053.mp3,32,ra
54,there,/audio/word/WORD0054.mp3,31,ra
55,them,/audio/word/WORD0055.mp3,29,ra
56,his,/audio/word/WORD0056.mp3,28,ra
57,what,/audio/word/WORD0057.mp3,28,ra
58,into,/audio/word/WORD0058.mp3,28,ra
59,world,/audio/word/WORD0059.mp3,27,ra
